year,month,day,address,category,description
2022,10,30,"85 ST. GEORGE STREET, TORONTO",MEDICAL ,REPORT OF A PERSON REQUIRING MEDICAL AID; ALL IN ORDER.
2022,10,30,"7 HART HOUSE CIRCLE, TORONTO",SUSPICIOUS VEHICLE,REPORT OF A SUSPICIOUS VEHICLE; ALL IN ORDER.
2022,10,30,"11 KING'S COLLEGE ROAD, TORONTO",INSECURE PREMISES,REPORT OF AN INSECURE PREMISES; ALL APPEARED IN ORDER.
2022,10,30,"160 COLLEGE STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF A PERSONS ENGAGING IN PROHIBITED ACT; PARTIES LEFT THE AREA WITHOUT FURTHER INCIDENT.
2022,10,30,"130 ST. GEORGE STREET, TORONTO",MEDICAL ,REPORT OF A MEDICAL; PARAMEDICS TRANSPORTED TO HOSPITAL.
2022,10,30,"321 BLOOR STREET WEST, TORONTO",LIQUOR LICENCE ACT,REPORT OF AN INTOXICATED PERSON; PARTY DECLINED MEDICAL AID.
2022,10,30,"55 ST. GEORGE STREET, TORONTO",POLICE INFORMATION,REPORT OF POSTERS DISPLAYED WITHOUT AUTHORIZATION.
2022,10,30,"130 ST. GEORGE STREET, TORONTO",THEFT,REPORT OF A LAPTOP THEFT AND CELLPHONE THEFT; PROPERTY LEFT UNATTENDED.
2022,10,30,"45 WILLCOCKS STREET, TORONTO",PERSON WELL-BEING CHECK,CONCERN FOR A PERSONS WELL-BEING WAS REPORTED; PARTIES ABLE TO CARE FOR THEMSELVES.
2022,10,30,"55 ST. GEORGE STREET, TORONTO",UNWANTED PERSON,REPORT OF A UNWANTED PERSONS; LEFT WHEN DIRECTED BY OFFICERS.
2022,10,30,"55 HARBORD STREET, TORONTO",POLICE INFORMATION,REPORT OF SMOKE; ALL IN ORDER.
2022,10,29,"10 KING'S COLLEGE ROAD, TORONTO",INSECURE PREMISES,REPORT OF AN INSECURE PREMISES; ALL APPEARED IN ORDER.
2022,10,29,"21 SUSSEX AVENUE, TORONTO",PERSON WELL-BEING CHECK,CONCERN FOR A PERSONS WELL-BEING WAS REPORTED; ALL IN ORDER.
2022,10,29,"130 ST. GEORGE STREET, TORONTO",DISTURBANCE,REPORT OF A DISTURBANCE; ALL IN ORDER.
2022,10,29,"81 ST. MARY STREET, TORONTO",PERSON WELL-BEING CHECK,REPORT OF A CONCERN FOR A PERSONS WELL-BEING; ALL IN ORDER.
2022,10,29,"170 ST. GEORGE STREET, TORONTO",PROPERTY DAMAGE,REPORT OF A BURST WATER PIPE; NO DAMAGE TO REPORT.
2022,10,29,"80 ST. GEORGE STREET, TORONTO",LIQUOR LICENCE ACT,REPORT OF AN INTOXICATED PERSON; PARTY TRANSPORTED TO HOSPITAL BY PARAMEDICS.
2022,10,29,"55 HARBORD STREET, TORONTO",MEDICAL ,REPORT OF A MEDICAL AFTER THE FACT.
2022,10,29,"95 QUEEN'S PARK, TORONTO",MISSING PERSON,REPORT OF A MISSING PERSON; PARTY WAS LOCATED AND SAFE.
2022,10,29,"170 ST. GEORGE STREET, TORONTO",PROPERTY DAMAGE,REPORT OF A PROPERTY DAMAGE.
2022,10,28,"230 COLLEGE STREET, TORONTO",ASSAULT,REPORT OF AN ASSAULT (ATTEMPT); NO INJURIES.
2022,10,28,"230 COLLEGE STREET, TORONTO",LIQUOR LICENCE ACT,REPORT OF AN INTOXICATED PERSON.
2022,10,28,"35 ST. GEORGE STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS ENGAGING IN PROHIBITED ACTIVITY;  PARTIES LEFT PRIOR TO OFFICERS ARRIVAL.
2022,10,28,"55 ST. GEORGE STREET, TORONTO",POLICE INFORMATION,REPORT OF UNAUTHORIZED POSTERS BEING POSTED.
2022,10,28,"55 HARBORD STREET, TORONTO",MEDICAL ,REPORT OF A SPORTS INJURY; PARTY TRANSPORTED TO HOSPITAL.
2022,10,28,"21 SUSSEX AVENUE, TORONTO",POLICE ASSISTANCE,REPORT OF A PERSON REQUESTING CAMPUS SAFETY ASSISTANCE.
2022,10,28,"89 ST. GEORGE STREET, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON; PARTY LEFT WITHOUT FURTHER INCIDENT.
